2. SUS'SE'Li after 0.5 mAh plating,,
,,
Frequency,Zreal,-Zim
2187.80005,9.39844,0.09287
2089.30005,9.3992,0.09493
1995.30005,9.40172,0.09419
1905.5,9.40511,0.09555
1819.69995,9.40784,0.09744
1737.80005,9.41123,0.09869
1659.59998,9.41398,0.09977
1584.90002,9.41691,0.10133
1513.59998,9.41973,0.10241
1445.40002,9.42249,0.10396
1380.40002,9.42613,0.10579
1318.30005,9.42939,0.10632
1258.90002,9.43231,0.10774
1202.30005,9.43553,0.10902
1148.19995,9.43832,0.11082
1096.5,9.44216,0.1119
1047.09998,9.44529,0.11327
1000,9.44853,0.11424
954.98999,9.45184,0.11583
912.01001,9.45578,0.11728
870.96002,9.45919,0.11868
831.76001,9.46286,0.11969
794.33002,9.46626,0.12113
758.58002,9.46965,0.12183
724.44,9.47343,0.12314
691.83002,9.47715,0.12453
660.69,9.48055,0.12542
630.96002,9.48485,0.12685
602.56,9.48802,0.12809
575.44,9.49194,0.12932
549.53998,9.49629,0.13055
524.81,9.49947,0.13177
501.19,9.50366,0.13322
478.63,9.50732,0.13397
457.09,9.51101,0.13535
436.51999,9.51541,0.13687
416.87,9.51969,0.13776
398.10999,9.52328,0.13891
380.19,9.52743,0.13995
363.07999,9.53147,0.14215
346.73999,9.53498,0.14273
331.13,9.53937,0.14434
316.23001,9.54326,0.14532
302,9.54749,0.14612
288.39999,9.55149,0.14776
275.42001,9.55507,0.14921
263.03,9.55975,0.15026
251.19,9.56395,0.1517
239.88,9.56786,0.15266
229.09,9.57256,0.15418
218.78,9.57695,0.15477
208.92999,9.58125,0.1567
199.53,9.58502,0.15841
190.55,9.58877,0.15999
181.97,9.59347,0.16124
173.78,9.59832,0.16321
165.96001,9.60231,0.16432
158.49001,9.60691,0.16581
151.36,9.6108,0.16771
144.53999,9.6155,0.16899
138.03999,9.6199,0.17138
131.83,9.62454,0.17305
125.89,9.62846,0.17467
120.23,9.63333,0.17626
114.82,9.63794,0.17887
109.65,9.6427,0.18088
104.71,9.64716,0.18281
100,9.65203,0.18505
95.499,9.6592,0.18706
91.201,9.66355,0.18953
87.096,9.66773,0.19204
83.176,9.67225,0.19479
79.433,9.67802,0.19695
75.858,9.68369,0.19874
72.444,9.68792,0.2016
69.183,9.69274,0.20493
66.069,9.69771,0.20782
63.096,9.70235,0.21053
60.256,9.70848,0.21361
57.544,9.71227,0.21692
54.954,9.71915,0.22013
52.481,9.72589,0.22367
50.119,9.73076,0.22664
47.863,9.73365,0.24505
45.709,9.73831,0.24787
43.652,9.7453,0.24974
41.687,9.75122,0.2538
39.811,9.75704,0.25714
38.019,9.76319,0.26024
36.308,9.76883,0.26387
34.674,9.77668,0.26859
33.113,9.78256,0.27205
31.623,9.78867,0.2758
30.2,9.79693,0.27934
28.84,9.80247,0.28409
27.542,9.81006,0.28771
26.303,9.81572,0.29346
25.119,9.8236,0.29803
23.988,9.83091,0.30257
22.909,9.8389,0.30715
21.878,9.84683,0.31207
20.893,9.85319,0.31844
19.953,9.86142,0.3236
19.055,9.87014,0.32815
18.197,9.87779,0.33428
17.378,9.8871,0.3402
16.596,9.8947,0.34652
15.849,9.90294,0.35175
15.136,9.91195,0.35896
14.454,9.92064,0.36537
13.804,9.93058,0.37135
13.183,9.94014,0.37779
12.589,9.94926,0.38484
12.023,9.9594,0.39269
11.482,9.96927,0.40013
10.965,9.9787,0.40719
10.471,9.99079,0.41565
10,10.00133,0.42327
9.5499,10.01112,0.43112
9.1201,10.02296,0.43999
8.7096,10.03401,0.44858
8.3176,10.04492,0.45774
7.9433,10.05868,0.46564
7.5858,10.07095,0.47583
7.2444,10.08343,0.48409
6.9183,10.09585,0.49375
6.6069,10.10755,0.50376
6.3096,10.12122,0.51277
6.0256,10.13419,0.52304
5.7544,10.14987,0.53333
5.4954,10.16263,0.5448
5.2481,10.17783,0.55515
5.0119,10.19313,0.5652
4.7863,10.20863,0.57829
4.5709,10.22294,0.58857
4.3652,10.23876,0.60008
4.1687,10.25432,0.61172
3.9811,10.27611,0.62263
3.8019,10.29052,0.63534
3.6308,10.30822,0.64705
3.4674,10.32605,0.65992
3.3113,10.3441,0.67152
3.1623,10.36173,0.68492
3.02,10.38218,0.69836
2.884,10.39906,0.71028
2.7542,10.41919,0.72425
2.6303,10.43796,0.73692
2.5119,10.46014,0.75028
2.3988,10.47917,0.76436
2.2909,10.50125,0.77774
2.1878,10.52273,0.79061
2.0893,10.54605,0.8056
1.9953,10.57414,0.81663
1.9055,10.59416,0.82987
1.8197,10.61872,0.84587
1.7378,10.6398,0.85749
1.6596,10.66277,0.86917
1.5849,10.68814,0.88388
1.5136,10.71193,0.89747
1.4454,10.73517,0.90909
1.3804,10.76243,0.92566
1.3183,10.78594,0.93789
1.2589,10.81258,0.95278
1.2023,10.83587,0.96332
1.1482,10.86854,0.97612
1.0965,10.89014,0.98898
1.0471,10.91941,1.00079
1,10.94299,1.01367
0.95499,10.97717,1.02639
0.91201,10.99963,1.03622
0.87096,11.02459,1.04427
0.83176,11.05256,1.05445
0.79433,11.08086,1.06086
0.75858,11.1019,1.07177
0.72444,11.13205,1.07822
0.69183,11.15635,1.08902
0.66069,11.1807,1.09185
0.63096,11.20974,1.10121
0.60256,11.22307,1.10606
0.57544,11.25112,1.11331
0.54954,11.27855,1.1163
0.52481,11.29977,1.12278
0.50119,11.32643,1.12447
0.47863,11.35615,1.13275
0.45709,11.37295,1.13201
0.43652,11.39546,1.13666
0.41687,11.41923,1.14392
0.39811,11.44656,1.14215
0.38019,11.47159,1.14901
0.36308,11.49863,1.15069
0.34674,11.52517,1.15797
0.33113,11.54112,1.1601
0.31623,11.57238,1.1608
0.302,11.59689,1.16094
0.2884,11.62523,1.16418
0.27542,11.64748,1.17038
0.26303,11.6744,1.17332
0.25119,11.70672,1.17743
0.23988,11.73646,1.17989
0.22909,11.75902,1.18443
0.21878,11.79211,1.18443
0.20893,11.82212,1.18801
0.19953,11.85334,1.19057
0.19055,11.87067,1.18789
0.18197,11.91003,1.19096
0.17378,11.93163,1.19622
0.16596,11.96259,1.19548
0.15849,12.00155,1.19119
0.15136,12.02981,1.19881
0.14454,12.06638,1.19146
0.13804,12.09679,1.193
0.13183,12.12926,1.1989
0.12589,12.15636,1.19532
0.12023,12.18892,1.18668
0.11482,12.23515,1.18464
0.10965,12.26228,1.17037
0.10471,12.31097,1.16117
0.1,12.33855,1.15399
0.0955,12.37056,1.1422
0.0912,12.39862,1.13697
0.0871,12.42848,1.11957
0.08318,12.46416,1.09752
0.07943,12.49051,1.08242
0.07586,12.51754,1.06537
0.07244,12.55499,1.04958
0.06918,12.58747,1.03409
0.06607,12.61079,1.01445
0.0631,12.63985,0.99478
0.06026,12.66869,0.97576
0.05754,12.70538,0.95686
0.05495,12.72901,0.94172
0.05248,12.74496,0.91868
0.05012,12.76876,0.88526
0.04786,12.7869,0.87485
0.04571,12.81348,0.84916
0.04365,12.82894,0.84008
0.04169,12.84594,0.8105
0.03981,12.86345,0.80024
0.03802,12.87467,0.76587
0.03631,12.89396,0.74858
0.03467,12.91425,0.72398
0.03311,12.93142,0.70996
0.03162,12.94831,0.69867
0.0302,12.96606,0.67643
0.02884,12.97425,0.65779
0.02754,12.97988,0.6368
0.0263,13.00277,0.62684
0.02512,13.01646,0.61286
0.02399,13.01708,0.59191
0.02291,13.03154,0.56732
0.02188,13.04596,0.5558
0.02089,13.04405,0.53709
0.01995,13.0512,0.52222
0.01905,13.05963,0.50511
0.0182,13.06351,0.49556
0.01738,13.07879,0.4753
0.0166,13.09226,0.46581
0.01585,13.0861,0.45325
0.01514,13.08055,0.42765
0.01445,13.1073,0.42167
0.0138,13.10912,0.41158
0.01318,13.10611,0.40054
0.01259,13.11154,0.38699
0.01202,13.11637,0.37204
0.01148,13.10775,0.35265
0.01096,13.11123,0.35203
0.01047,13.12075,0.34519
0.01,13.12369,0.32586
0.00955,13.12566,0.32064
0.00912,13.1255,0.30302
0.00871,13.12341,0.29919
0.00832,13.11757,0.29434
0.00794,13.12187,0.28813
0.00759,13.12168,0.27063
0.00724,13.13469,0.264
0.00692,13.12715,0.26661
0.00661,13.12775,0.24579
0.00631,13.1363,0.24439
0.00603,13.12687,0.23361
0.00575,13.12816,0.23444
0.0055,13.13192,0.2282
0.00525,13.13635,0.21494
0.00501,13.13616,0.2118
0.00479,13.13349,0.19902
0.00457,13.13919,0.1949
0.00437,13.13453,0.19898
0.00417,13.13359,0.19747
0.00398,13.14401,0.19125
0.0038,13.14612,0.18709
0.00363,13.13665,0.18242
0.00347,13.12635,0.181
0.00331,13.14261,0.17113
0.00316,13.13787,0.172
0.00302,13.12376,0.16421
0.00288,13.13312,0.16216
0.00275,13.13172,0.15646
0.00263,13.12131,0.15809
0.00251,13.13672,0.15171
0.0024,13.13136,0.14739
0.00229,13.13097,0.15718
0.00219,13.13172,0.14579
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
